"","hgnc_symbol","entrezgene"
"1","RYBP",23429
"2","INPP5D",3635
"3","OBP2B",29989
"4","SERTAD4",56256
"5","SLC16A1",6566
"6","KAT6B",23522
"7","HHAT",55733
"8","SURF6",6838
"9","RPS6KA1",6195
"10","NDUFA10",4705
"11","ZNF445",353274
"12","PADI1",29943
"13","MED22",6837
"14","PADI3",51702
"15","PADI4",23569
"16","ZKSCAN7",55888
"17","RPL7A",6130
"18","PADI6",353238
"19","RCC2",55920
"20","SNORD24",26820
"21","SNORD36A",26815
"22","SNORD36C",26813
"23","ZNF660",285349
"24","SURF1",6834
"25","ATG16L1",55054
"26","ZNF197",10168
"27","SURF2",6835
"28","ZNF35",7584
"29","SURF4",6836
"30","ZNF502",91392
"31","ZNF501",115560
"32","KIAA1143",57456
"33","STKLD1",169436
"34","REXO4",57109
"35","SCARNA5",677775
"36","SCARNA6",677772
"37","KIF15",56992
"38","SAG",6295
"39","TMEM42",131616
"40","TGM4",7047
"41","DGKD",8527
"42","ADAMTS13",11093
"43","ZDHHC3",51304
"44","CACFD1",11094
"45","SLC2A6",11182
"46","ABO",28
"47","BCL7A",605
"48","PRAMEF11",440560
"49","MLXIP",22877
"50","HNRNPCL1",343069
"51","BCL2L14",79370
"52","RASA3",22821
"53","PRAMEF2",65122
"54","PRAMEF4",400735
"55","PRAMEF10",343071
"56","PRAMEF6",440561
"57","FOXR1",283150
"58","LRP6",4040
"59","HNRNPCL3",649330
"60","CCDC84",338657
"61","HNRNPCL2",440563
"62","PRAMEF9",343070
"63","PRAMEF18",391003
"64","PRAMEF5",343068
"65","RPS25",6230
"66","PRAMEF8",391002
"67","DUPD1",338599
"68","MANSC1",54682
"69","LOH12CR2",503693
"70","BORCS5",118426
"71","",653606
"72","DUSP16",80824
"73","TRAPPC4",51399
"74","LEUTX",342900
"75","DYRK1B",9149
"76","HYOU1",10525
"77","FBL",2091
"78","PSMC4",5704
"79","ZNF546",339327
"80","ZNF780B",163131
"81","ZNF780A",284323
"82","VPS11",55823
"83","FCGBP",8857
"84","HMBS",3145
"85","SLC37A4",2542
"86","ATAD1",84896
"87","PTEN",5728
"88","FRG1",2483
"89","FAT3",120114
"90","MAP4K1",11184
"91","DPP6",1804
"92","IBTK",25998
"93","MAGI1",9223
"94","EIF3K",27335
"95","TPBG",7162
"96","ACTN4",81
"97","SLC25A26",115286
"98","LGALS7B",3963
"99","LGALS7B",653499
"100","LGALS7",3963
"101","LGALS7",653499
"102","LGALS4",3960
"103","LRIG1",26018
"104","ECH1",1891
"105","HNRNPL",3191
"106","RINL",126432
"107","SIRT2",22933
"108","NFKBIB",4793
"109","SARS2",54938
"110","MRPS12",6183
"111","FBXO17",115290
"112","FBXO27",126433
"113","CAPN12",147968
"114","ULK4P3",89837
"115","MGAT4C",25834
"116","",26082
"117","ACR",49
"118","MUC6",4588
"119","OR5P2",120065
"120","OR5P3",120066
"121","OR10A6",390093
"122","OR10A3",26496
"123","NLRP10",338322
"124","SHANK3",85358
"125","EIF3F",8665
"126","FRG2",448831
"127","NDUFA6",4700
"128","SCG5",6447
"129","TCF20",6942
"130","GREM1",26585
"131","",1139
"132","",89839
"133","ARHGAP11A",9824
"134","CYP2D6",1565
"135","CSN2",1447
"136","PRSS21",10942
"137","PHACTR1",221692
"138","STATH",6779
"139","TBCE",6905
"140","HNRNPR",10236
"141","HTN3",3347
"142","HYDIN",54768
"143","CPEB2",132864
"144","ZG16B",124220
"145","HTN1",3346
"146","PRSS30P",124221
"147","MYO16",23026
"148","PRSS22",64063
"149","ZNF436",80818
"150","PRR27",401137
"151","PRAMEF18",653606
"152","B3GALNT2",148789
"153","TCEA3",6920
"154","FMN1",342184
"155","GNG4",2786
"156","ERC1",23085
"157","ASAP3",55616
"158","PTPRD",5789
"159","CALB2",794
"160","CMTR2",55783
"161","CTAGE1",64693
"162","E2F2",1870
"163","ID3",3399
"164","INO80D",54891
"165","NDUFS1",4719
"166","EEF1B2",1933
"167","SNORA41",619569
"168","GPR1",2825
"169","ZDBF2",57683
"170","NUTM2G",441457
"171","FSCB",84075
"172","SNORD102",26771
"173","C9orf131",138724
"174","C7orf34",135927
"175","SNORD45A",26805
"176","PPP1R2",5504
"177","NEK2",4751
"178","STARD7",56910
"179","",6203
"180","TDP2",51567
"181","SNORA38",677820
"182","SNORD26",9302
"183","SNORD115-4",100033441
"184","PAQR3",152559
"185","HLA-DMA",3108
"186","PRPF31",26121
"187","ZNF790",388536
"188","TFPT",29844
"189","OR52I1",390037
"190","OR7G2",390882
"191","SNORD114-31",767612
"192","PECR",55825
"193","SNORD65",692106
"194","TMEM39A",55254
"195","TMC4",147798
"196","ZNF671",79891
"197","",340017
"198","SNORA50C",677842
"199","SEC16B",89866
"200","SNORA1",677792
"201","SNORA5B",677795
"202","KIR2DL4",3805
"203","SNORD113-7",767567
"204","DDAH2",23564
"205","SNORA44",677825
"206","SNORD71",692111
"207","CATSPERG",57828
"208","SLC38A2",54407
"209","POLR2I",5438
"210","SNORD114-6",767582
"211","KIR3DL1",3811
"212","SNORD115-40",100033814
"213","ZBTB44",29068
"214","PCDHA7",56141
"215","PCDHA8",56140
"216","ZSCAN4",201516
"217","SNORA64",26784
"218","LONP1",9361
"219","GAB1",2549
"220","SH3BP4",23677
"221","FUCA2",2519
"222","ZNF836",162962
"223","C1QTNF6",114904
"224","JAKMIP1",152789
"225","OSER1",51526
"226","WDYHV1",55093
"227","ABRACL",58527
"228","TUBB2B",347733
"229","CIAPIN1",57019
"230","ZNF880",400713
"231","CARM1",10498
"232","FAM168A",23201
"233","ORM1",5004
"234","TSHZ2",128553
"235","TBCB",1155
"236","FBXO36",130888
"237","KIR2DS4",3809
"238","ZFP36L2",678
"239","CDC42BPB",9578
"240","SNORD69",692109
"241","VEGFD",2277
"242","ZDHHC17",23390
"243","SAA4",6291
"244","ITGA2B",3674
"245","SNORD117",692233
"246","GCFC2",6936
"247","RRAGB",10325
"248","CNOT6L",246175
"249","SNORD93",692210
"250","F2",2147
"251","NMUR2",56923
"252","ZNF578",147660
"253","C11orf42",160298
"254","SNORD115-27",100036564
"255","MIMT1",100073347
"256","SNORD115-7",100033444
"257","RCAN2",10231
"258","GRINA",2907
"259","HDHD3",81932
"260","GOLT1A",127845
"261","SNORA71D",677840
"262","LINC00346",283487
"263","MACROD1",28992
"264","NUFIP1",26747
"265","KIR2DL1",3802
"266","EMILIN3",90187
"267","TMTC1",83857
"268","ZNF83",55769
"269","SNORD95",619570
"270","WWC2-AS2",152641
"271","MOGAT1",116255
"272","SNORD115-26",100033802
"273","",641367
"274","ZRANB1",54764
"275","RBM12B-AS1",55472
"276","SNORA7B",677797
"277","OR1C1",26188
"278","SNORD56",26793
"279","TMEM151B",441151
"280","COL10A1",1300
"281","PPOX",5498
"282","ZBTB47",92999
"283","TMEM179",388021
"284","GRM6",2916
"285","FZD2",2535
"286","B9D2",80776
"287","SSTR4",6754
"288","SNORD32B",692092
"289","UBIAD1",29914
"290","SNORD115-39",100033813
"291","FAM170A",340069
"292","HEG1",57493
"293","SCARA5",286133
"294","SNORD54",26795
"295","LHX2",9355
"296","SLAMF8",56833
"297","PRB2",653247
"298","ZNF737",100129842
"299","SNORD43",26807
"300","SNORD30",9299
"301","ZNF680",340252
"302","CEACAM4",1089
"303","HSPA1L",3305
"304","EFHD2",79180
"305","RBM12B",389677
"306","CGB3",1082
"307","KIR3DS1",3811
"308","TARM1",441864
"309","ZNF600",162966
"310","ANKRD49",54851
"311","EFHB",151651
"312","ZSCAN29",146050
"313","GPSM3",63940
"314","HLA-DOA",3111
"315","FAM180A",389558
"316","GDF15",9518
"317","OTUD3",23252
"318","BEGAIN",57596
"319","EFNA4",1945
"320","SNORD114-23",767603
"321","NCKAP1",10787
"322","FOXK1",221937
"323","BUD31",8896
"324","CEL",1056
"325","TUBB1",81027
"326","PRCD",768206
"327","REG3G",130120
"328","RAB3IL1",5866
"329","EIF1",10209
"330","SNORD4B",26772
"331","SOX15",6665
"332","PGM2",55276
"333","MPPED2",744
"334","SDF2",6388
"335","DCTN5",84516
"336","GP6",51206
"337","C7orf73",647087
"338","DAZ3",57054
"339","GBX2",2637
"340","EZR",7430
"341","CEP135",9662
"342","SNORA81",677847
"343","SNORD115-14",100033451
"344","DUXA",503835
"345","EGFL8",80864
"346","MARVELD3",91862
"347","SNTB1",6641
"348","RNF39",80352
"349","MMP13",4322
"350","ZNF695",57116
"351","PRDM8",56978
"352","PHYHIP",9796
"353","SPCS3",60559
"354","ERMN",57471
"355","C12orf40",283461
"356","ZNF581",51545
"357","APEH",327
"358","FCF1",51077
"359","PRAM1",84106
"360","DYDC1",143241
"361","SIDT1",54847
"362","ATP6V1B1",525
"363","WDR92",116143
"364","MAN2B1",4125
"365","HIST1H2BK",85236
"366","DEFB116",245930
"367","RRH",10692
"368","TBCC",6903
"369","KRTAP5-AS1",338651
"370","SNORD115-48",100033822
"371","CMTM6",54918
"372","GXYLT2",727936
"373","CT45A6",541465
"374","QPRT",23475
"375","KRTAP2-2",728279
"376","MORN2",729967
"377","NACA2",342538
"378","OSCAR",126014
"379","UGT1A9",54600
"380","CTNNA1",1495
"381","ABI3",51225
"382","PARM1",25849
"383","TNFRSF18",8784
"384","SH3BGRL3",83442
"385","TENM4",26011
"386","ADRA2C",152
"387","RDH5",5959
"388","SDAD1",55153
"389","CYP21A2",1589
"390","CHIAP2",149620
"391","KIR3DL3",115653
"392","",148413
"393","DDT",1652
"394","DDT",100037417
"395","ERRFI1",54206
"396","GOLGA1",2800
"397","BPIFC",254240
"398","SFMBT1",51460
"399","ANKRD30A",91074
"400","C1orf226",400793
"401","PLBD2",196463
"402","CHRNB4",1143
"403","MKL1",57591
"404","TTC9C",283237
"405","IL2RG",3561
"406","ESRP1",54845
"407","PCGF1",84759
"408","SNORD115-3",100033440
"409","SNORD20",6082
"410","TARSL2",123283
"411","TMEM43",79188
"412","SNORD113-4",767564
"413","SNORA75",654321
"414","ALG1L2",644974
"415","KRT19",3880
"416","MAJIN",283129
"417","VIM",7431
"418","RPGRIP1",57096
"419","CD52",1043
"420","GOLIM4",27333
"421","LGALS2",3957
"422","PPP1R3E",90673
"423","TMEM203",94107
"424","ZNF845",91664
"425","RAP2B",5912
"426","DENND2D",79961
"427","SLCO4A1",28231
"428","MED1",5469
"429","PDE4B",5142
"430","NCR1",9437
"431","MAD2L1BP",9587
"432","CNOT3",4849
"433","LRRC41",10489
"434","TBC1D10A",83874
"435","SNORA8",654320
"436","GRAMD1B",57476
"437","SNORD115-10",100033447
"438","S100A7L2",645922
"439","RDH13",112724
"440","UQCRC1",7384
"441","ZNF598",90850
"442","C9orf152",401546
"443","FCN1",2219
"444","ATP8B3",148229
"445","ZNF75D",7626
"446","SNORD116-5",100033417
"447","PGAP3",93210
"448","GAS2L3",283431
"449","ATP8B4",79895
"450","TMEM167A",153339
"451","DHX34",9704
"452","KIAA1210",57481
"453","CYP2A6",1548
"454","BTF3",689
"455","ZKSCAN8",7745
"456","GSDMA",284110
"457","C17orf47",284083
"458","MED13",9969
"459","SNORD45C",692085
"460","MBOAT7",79143
"461","SNORA67",26781
"462","LINC00698",285401
"463","ATRNL1",26033
"464","SCARNA14",692149
"465","NPTX1",4884
"466","ZNRD1",30834
"467","SNORD115-5",100033442
"468","CLNK",116449
"469","OR1A1",8383
"470","ADAMTS20",80070
"471","SNORA54",677833
"472","PLGLB2",5342
"473","NCR3",259197
"474","VSX2",338917
"475","SNORD9",692053
"476","BARX2",8538
"477","AQP5",362
"478","PAPOLG",64895
"479","RNY4",6086
"480","CRYAA",1409
"481","CES1",1066
"482","SNORD114-1",767577
"483","LRSAM1",90678
"484","TFIP11",24144
"485","TUSC1",286319
"486","PER3",8863
"487","NSUN2",54888
"488","SNORA80A",677846
"489","PON2",5445
"490","SNORA18",677805
"491","UBA1",7317
"492","SNORD17",692086
"493","SNORD114-24",767604
"494","MAF1",84232
"495","SNORA36C",100124535
"496","SNORA29",677812
"497","GTF2H4",2968
"498","MT1H",4496
"499","LRRC25",126364
"500","RAB31",11031
"501","MMEL1",79258
"502","IL18",3606
"503","SNORA23",677808
"504","DHRS4",10901
"505","DHRS4",728635
"506","MBNL3",55796
"507","TSPAN1",10103
"508","KIF25",3834
"509","SNORD59A",26789
"510","TMEM80",283232
"511","TRIM39",56658
"512","NNMT",4837
"513","TMEM192",201931
"514","AMY2B",280
"515","COL15A1",1306
"516","FOLR1",2348
"517","HLA-DRB1",3123
"518","TNPO3",23534
"519","CFAP20",29105
"520","ZNF626",199777
"521","FKTN",2218
"522","LHX9",56956
"523","MFSD12",126321
"524","GOLPH3",64083
"525","SNORA72",26775
"526","TG",7038
"527","VARS",7407
"528","UQCRH",7388
"529","FCRL6",343413
"530","CSE1L",1434
"531","SFPQ",6421
