"","BT20_Abemaciclib_0.3_6","BT20_Abemaciclib_3_6","BT20_Palbociclib_0.3_6","BT20_Palbociclib_3_6","BT20_Ribociclib_0.3_6"
"TSPAN6",-0.292746765190089,-0.0479180631365271,-0.0119391202970444,-0.0515516591354312,0.267338163402899
"DPM1",-0.0959936900113492,0.0569746354750228,-0.140428753623249,-0.103621091839281,0.0725004621975894
"SCYL3",0.135423342969645,0.0173803239252918,0.0794003482989135,0.36608583550546,-0.266523088630868
"C1orf112",-0.50066467902284,-0.898429787553959,-0.651468003431283,-0.741898540206844,-0.389317892635609
"FUCA2",0.0419087336932319,0.109759055606271,-0.0117729095306824,0.054630054048969,0.00782761987056835
"GCLC",-0.102378518986141,-0.248525713268332,-0.0425551811271732,0.19785119514936,0.17541095909606
"NFYA",-0.0113142024547741,0.0595404993902986,-0.0413372205339977,0.00192528778398213,0.0216965269111385
"LAS1L",0.0699895620440982,-0.0845549012767203,0.0516390840846237,-0.020140282720192,0.198457253265244
"SEMA3F",-0.171714141632228,-0.292021868586006,-0.174076132476286,-0.292396245034655,-0.173791412145924
"ANKIB1",-0.146482901941585,-0.2605088090043,-0.142298672468221,0.00249083636116104,0.0256219463737669
"CYP51A1",-1.17514877182818,-0.311762876924518,-0.454854884107915,-0.519030861393109,0.389282526474768
"KRIT1",-0.231795932433773,-0.796610616613104,-0.145742861694313,-0.218680512558251,-0.271946009094888
"BAD",0.416382528134829,0.685098933976143,0.562894836892708,0.26457811300162,-0.212051257499817
"LAP3",-0.00493132927608441,-0.0401958201084442,0.00268545600259697,0.0672602654997961,0.0596792294314288
"CD99",0.123189343328821,0.265004920272468,0.127226808699622,0.170753204029974,-0.0953667815116187
"MAD1L1",-0.0804650945345164,-0.190070553867278,0.17126161692554,-0.157228362088569,-0.201596959344754
"LASP1",0.026863512437207,-0.00832708264084356,0.0615416490667035,-0.0893259947033196,0.0291398858298149
"SNX11",0.295895893701026,0.0787339243041806,0.338938847525038,0.194538301765397,0.124658091582224
"M6PR",0.0517220836297657,0.183852527764321,-0.0699912383483162,0.0100382824618046,0.0630249105385119
"DBNDD1",0.345351679865567,0.300368417921666,0.35551364974141,0.132615750207292,-0.172721158121675
"ALS2",0.122569179635673,0.0973652955620853,-0.057125065262869,0.140677359115546,-0.0235286550300802
"CFLAR",0.0374669045819713,-0.0222972395198885,0.03468600126189,0.13688864042627,0.0106170246713181
"NDUFAF7",0.068204146071354,-0.159502353672639,-0.345863660193424,-0.221279784930681,0.0752814823819038
"RBM5",0.355047036413735,0.480614438154508,0.14822826543345,0.161177406490357,0.128142941098452
"ARF5",0.130501601700316,0.403542913254051,0.235048090034808,0.119018361866618,0.0650446739236922
"POLDIP2",0.11477033824822,0.284755299076745,0.165435717542517,0.00711265342942963,0.0315742989205242
"PLXND1",-0.107438737018385,-0.0403321023908911,0.117268751172168,-0.157946870360227,-0.0351772951723403
"AK2",0.0791466842581569,0.147038737016878,-0.0140429272454504,-0.029040476725316,0.133651977664369
"FKBP4",-0.087279842025641,-0.0255777652514172,-0.131410778341473,-0.158017620271382,-0.168867211930446
"KDM1A",-0.0819010474081356,-0.123350286274407,-0.142439182479328,-0.0580676601343074,-0.061759261255048
"RBM6",0.0936791269634345,0.0948963203324641,0.0394484979857823,0.0793403426290783,0.0669956603982664
"CAMKK1",-0.434818403785684,-1.46795151235667,-0.14228281900358,-0.336402189191802,-0.378048708597842
"RECQL",-0.372265697989536,-0.260929096409569,-0.34005026765248,-0.144839991770175,-0.178897495064605
"VPS50",-0.103736523573555,-0.208469992896049,-0.0458880026833534,-0.137671318083523,-0.0195860593790842
"ARHGAP33",0.151814145609645,0.752404299645094,0.083259813360667,-0.0231873439364769,-0.217802006836899
"NDUFAB1",0.225158447589991,0.341723884658856,0.219257590302757,0.1308479796391,0.0171294370276119
"SLC25A13",-0.102912450152264,-0.362097671041287,-0.0483792590871132,-0.21772664616124,-0.0302094435606667
"ST7",-0.258120481677381,-0.456449612096112,-0.249453198340787,-0.31044558609231,-0.0597032690377913
"CDC27",-0.292254487229653,-0.317011332355089,-0.278641213048691,-0.122421645928876,-0.0616628158395431
"HCCS",0.0630013120202352,0.0378337887914018,-0.0787468750617846,-0.00181107031654255,0.0411240395310288
"DVL2",-0.211225066263154,-0.453911832701112,-0.175200851953804,-0.313653227404211,-0.140627425631301
"UPF1",0.168838038036966,0.314655125746435,0.232541279336648,0.0974101265851391,0.0322541022166388
"SKAP2",-0.422079086921749,-0.53210762904291,-0.312249669334833,-0.307491092490102,-0.166904245354139
"SLC25A5",-0.0597947364458995,0.0582250509350856,-0.0767776710437099,-0.123587696822969,-0.0923765794319773
"MCUB",-0.459759700226875,-0.169371648296469,-0.184983881895634,-0.310073390175489,-0.246870138724127
"POLR2J",-0.0294349829222842,0.391392848142351,0.23117571200095,-0.263732055916033,-0.386294090618643
